pts, length, steps, init_time, run_time, stacks, stack_items, error_items
283, 1928, 10000, 3.615151, 0.69958, 7, 3367, 8
95, 155, 143, 0.157524, 0.115575, 7, 47, 7
171, 403, 574, 0.497838, 0.283009, 7, 160, 60
128, 222, 107, 0.206086, 0.200154, 7, 45, 16
256, 859, 2779, 1.26739, 0.213467, 7, 1099, 7
152, 440, 10000, 0.614887, 0.278539, 7, 3314, 4
267, 970, 10000, 1.417893, 0.25829, 7, 1768, 5
24, 29, 36, 0.014519, 0.00074, 6, 15, 2
232, 707, 443, 0.937465, 0.75509, 7, 106, 7
206, 702, 10, 1.034338, 0.00029, 6, 7, 3
264, 1328, 324, 2.322897, 0.491429, 7, 83, 5
271, 1691, 10000, 3.030808, 0.249079, 6, 2606, 3
26, 32, 36, 0.011865, 0.000602, 7, 16, 2
229, 830, 10000, 1.381054, 0.402478, 7, 1297, 5
12, 12, 14, 0.007972, 0.002792, 6, 7, 2
214, 600, 914, 0.789424, 0.736264, 7, 254, 6
43, 56, 206, 0.029081, 0.265119, 7, 51, 40
210, 851, 495, 1.340036, 0.289989, 7, 134, 11
247, 777, 539, 1.137279, 0.288996, 7, 144, 10
81, 115, 10000, 0.048539, 0.195669, 6, 3340, 3
98, 143, 163, 0.074455, 0.105559, 7, 45, 9
114, 183, 173, 0.113563, 0.070584, 7, 73, 6
257, 1311, 10000, 2.204011, 0.364297, 7, 2609, 4
101, 167, 147, 0.111297, 0.002509, 7, 35, 7
78, 124, 122, 0.120691, 0.089013, 7, 35, 7
140, 365, 233, 0.431205, 0.028484, 7, 88, 8
224, 709, 10000, 0.993631, 0.369307, 7, 3428, 3
229, 565, 328, 0.71143, 0.479098, 7, 67, 7
270, 1027, 432, 1.71497, 0.74354, 7, 104, 13
280, 1147, 921, 1.791433, 0.249113, 7, 142, 10
298, 1045, 198, 1.564204, 0.05803, 7, 57, 5
189, 442, 10000, 0.528061, 0.164767, 7, 3405, 4
15, 18, 16, 0.021153, 0.000533, 6, 5, 2
71, 105, 144, 0.056817, 0.002269, 7, 49, 7
262, 1084, 10000, 1.868439, 0.151143, 6, 3406, 8
259, 1072, 382, 1.815588, 0.841765, 7, 113, 5
236, 604, 330, 0.779352, 0.193658, 7, 113, 14
146, 376, 238, 0.483446, 0.109241, 7, 83, 6
68, 89, 191, 0.10224, 0.100591, 7, 52, 11
113, 170, 10000, 0.091782, 0.140096, 7, 3335, 7
49, 82, 46, 0.055561, 0.047831, 6, 21, 2
113, 159, 175, 0.0831, 0.074957, 7, 37, 9
273, 1146, 31, 2.010759, 0.112911, 6, 14, 1
13, 13, 18, 0.006499, 0.00028, 6, 7, 3
172, 309, 10000, 0.30961, 0.119079, 7, 2585, 29
87, 145, 252, 0.152092, 0.004749, 7, 39, 5
95, 167, 137, 0.165283, 0.013036, 7, 40, 6
34, 44, 10000, 0.023374, 0.124851, 3, 14, 1
168, 736, 153, 1.252237, 0.34742, 6, 41, 0
241, 731, 325, 1.044408, 0.075706, 7, 108, 8
90, 173, 199, 0.181765, 0.04537, 7, 67, 6
228, 700, 54, 1.028653, 0.003, 7, 14, 4
213, 737, 10000, 1.161974, 0.204931, 7, 106, 8
129, 271, 10000, 0.291168, 0.212975, 7, 2549, 7
295, 1007, 4967, 1.550016, 0.778734, 7, 939, 71
73, 124, 88, 0.136007, 0.015085, 7, 35, 4
37, 46, 46, 0.020878, 0.000893, 6, 21, 2
52, 64, 69, 0.07724, 0.110878, 7, 20, 2
64, 87, 82, 0.048695, 0.008967, 6, 23, 3
20, 29, 26, 0.014413, 0.002445, 5, 12, 0
58, 75, 329, 0.085266, 0.016543, 7, 116, 3
183, 487, 212, 0.536625, 0.286316, 7, 70, 9
34, 45, 44, 0.023245, 0.094069, 7, 18, 4
14, 23, 17, 0.02221, 0.000131, 5, 8, 0
262, 1100, 746, 1.817489, 0.328476, 7, 168, 11
91, 157, 35, 0.109206, 0.000465, 6, 14, 2
37, 62, 47, 0.048002, 0.000818, 6, 19, 2
159, 416, 209, 0.527118, 0.169378, 7, 62, 6
195, 547, 23, 0.720148, 0.011429, 6, 11, 2
293, 1432, 451, 2.494887, 0.645735, 7, 87, 15
48, 76, 58, 0.048121, 0.00158, 6, 28, 2
196, 659, 22, 0.943888, 0.000339, 6, 12, 3
280, 1580, 10000, 2.710298, 0.242773, 6, 3451, 3312
125, 204, 20, 0.12644, 0.000287, 6, 9, 2
33, 40, 39, 0.017322, 0.000425, 6, 18, 5
212, 604, 423, 0.800813, 0.430022, 7, 116, 9
212, 793, 265, 1.193682, 0.764674, 7, 118, 13
256, 1067, 123, 1.759523, 0.618358, 7, 33, 4
46, 62, 57, 0.025898, 0.121752, 7, 26, 4
262, 1112, 346, 1.814485, 0.443418, 7, 88, 3
204, 631, 740, 1.049793, 0.203223, 7, 224, 12
282, 2044, 1151, 3.721107, 0.369075, 7, 55, 2
226, 497, 300, 0.581592, 0.712319, 7, 106, 7
198, 453, 10000, 0.518039, 0.414067, 7, 832, 738
266, 1084, 921, 1.656686, 0.615933, 7, 233, 4
72, 86, 168, 0.024421, 0.167003, 7, 53, 9
244, 859, 859, 1.185144, 0.209911, 7, 243, 13
28, 38, 38, 0.021255, 0.000463, 6, 13, 3
204, 571, 145, 0.73301, 0.213957, 7, 35, 11
72, 106, 93, 0.046392, 0.001755, 7, 33, 6
283, 978, 10000, 1.354954, 0.17742, 6, 134, 0
132, 262, 643, 0.269359, 0.023543, 7, 91, 48
130, 290, 481, 0.286154, 0.160971, 7, 165, 3
238, 553, 295, 0.663204, 0.381218, 7, 72, 11
81, 99, 55, 0.030691, 0.000815, 6, 23, 6
248, 609, 310, 0.738478, 0.219047, 7, 105, 16
17, 20, 20, 0.009578, 0.00055, 6, 11, 4
124, 228, 285, 0.232225, 0.106839, 7, 102, 9
308, 1969, 206, 3.331077, 0.414694, 7, 77, 8
240, 955, 187, 1.389686, 0.244883, 7, 53, 9
252, 795, 10000, 1.049619, 0.824803, 7, 3354, 12
84, 144, 106, 0.103683, 0.01945, 6, 30, 3
261, 1048, 10000, 1.473422, 0.0798129999999999, 7, 3433, 2
213, 604, 1317, 0.795406, 0.199615, 7, 273, 5
192, 517, 10000, 0.673343, 0.252387, 7, 3369, 6
256, 664, 10000, 0.864458, 0.252225, 7, 3383, 6
13, 14, 18, 0.006099, 0.00031, 7, 10, 3
210, 489, 628, 0.581069, 0.183546, 7, 167, 86
175, 546, 234, 0.685679, 0.263361, 7, 74, 10
213, 526, 660, 0.674163, 0.161758, 7, 128, 3
278, 1742, 920, 2.907146, 2.083571, 7, 286, 10
89, 117, 10000, 0.077279, 0.22722, 7, 3370, 3329
182, 677, 227, 0.992751, 0.385757, 7, 80, 8
69, 128, 94, 0.162067, 0.005043, 7, 34, 6
213, 545, 306, 0.648887, 0.394218, 7, 78, 12
13, 15, 18, 0.008049, 0.000211, 6, 9, 2
125, 246, 10000, 0.251033, 0.276336, 7, 3344, 9
295, 1639, 166, 2.732816, 0.002909, 6, 34, 5
230, 994, 123, 1.494299, 0.166948, 7, 37, 3
219, 632, 431, 0.784346, 0.630833, 7, 69, 9
235, 761, 309, 1.095117, 1.112955, 7, 95, 8
254, 1102, 4, 1.814638, 0.000207, 4, 2, 1
63, 107, 76, 0.064014, 0.002948, 6, 31, 4
14, 17, 152, 0.008253, 0.004042, 6, 33, 1
185, 533, 10000, 0.70783, 0.114572, 6, 2566, 3
17, 21, 18, 0.010331, 0.000332, 7, 9, 3
123, 216, 1517, 0.143253, 0.94856, 7, 391, 10
246, 1043, 10000, 1.637335, 0.267625, 7, 120, 5
255, 908, 321, 1.354229, 0.32922, 7, 99, 11
190, 665, 10000, 0.937083, 0.129675, 7, 3401, 3
144, 331, 184, 0.39357, 0.123365, 7, 65, 9
127, 221, 96, 0.195148, 0.013339, 7, 28, 3
71, 112, 86, 0.0884499999999999, 0.001223, 7, 32, 5
184, 529, 104, 0.678239, 0.062684, 7, 39, 7
18, 26, 20, 0.010213, 0.000216, 6, 12, 2
261, 873, 10000, 1.262364, 0.405429, 7, 3397, 3291
113, 235, 351, 0.257086, 0.05915, 6, 132, 4
222, 974, 384, 1.47719, 0.726686, 7, 132, 11
105, 215, 10000, 0.171665, 0.288457, 7, 2534, 2490
101, 186, 827, 0.17477, 0.017963, 7, 323, 7
94, 163, 113, 0.17149, 0.0312, 7, 49, 21
155, 408, 2131, 0.496794, 0.192892, 7, 335, 4
276, 1011, 4474, 1.436936, 1.560423, 7, 628, 17
106, 151, 130, 0.077613, 0.048117, 7, 49, 5
246, 705, 237, 0.927969, 0.214672, 7, 89, 16
187, 605, 512, 0.797982, 0.137589, 7, 193, 9
47, 56, 59, 0.016243, 0.011955, 7, 20, 1
302, 1835, 10000, 3.095515, 0.101772, 6, 3471, 4
217, 1036, 10000, 1.610645, 0.077582, 7, 3424, 2
